HGNC	3288	EIF4EBP1	isa	FPLX	000154	EIF4EBP
HGNC	3289	EIF4EBP2	isa	FPLX	000154	EIF4EBP
HGNC	3290	EIF4EBP3	isa	FPLX	000154	EIF4EBP
HGNC	129	ACTA1	isa	FPLX	000009	Actin
HGNC	130	ACTA2	isa	FPLX	000009	Actin
HGNC	132	ACTB	isa	FPLX	000009	Actin
HGNC	143	ACTC1	isa	FPLX	000009	Actin
HGNC	144	ACTG1	isa	FPLX	000009	Actin
HGNC	145	ACTG2	isa	FPLX	000009	Actin
FPLX	000011	Activin_A	isa	FPLX	000010	Activin
FPLX	000012	Activin_AB	isa	FPLX	000010	Activin
FPLX	000013	Activin_B	isa	FPLX	000010	Activin
FPLX	000257	Inhibin_A	isa	FPLX	000256	Inhibin
FPLX	000258	Inhibin_B	isa	FPLX	000256	Inhibin
HGNC	6066	INHBA	partof	FPLX	000011	Activin_A
HGNC	6066	INHBA	partof	FPLX	000012	Activin_AB
HGNC	6067	INHBB	partof	FPLX	000012	Activin_AB
HGNC	6067	INHBB	partof	FPLX	000013	Activin_B
HGNC	6065	INHA	partof	FPLX	000257	Inhibin_A
HGNC	6066	INHBA	partof	FPLX	000257	Inhibin_A
HGNC	6065	INHA	partof	FPLX	000258	Inhibin_B
HGNC	6067	INHBB	partof	FPLX	000258	Inhibin_B
HGNC	391	AKT1	isa	FPLX	000023	AKT
HGNC	392	AKT2	isa	FPLX	000023	AKT
HGNC	393	AKT3	isa	FPLX	000023	AKT
FPLX	000044	AMPK_alpha	partof	FPLX	000031	AMPK
FPLX	000045	AMPK_beta	partof	FPLX	000031	AMPK
FPLX	000046	AMPK_gamma	partof	FPLX	000031	AMPK
HGNC	9376	PRKAA1	isa	FPLX	000044	AMPK_alpha
HGNC	9377	PRKAA2	isa	FPLX	000044	AMPK_alpha
HGNC	9378	PRKAB1	isa	FPLX	000045	AMPK_beta
HGNC	9379	PRKAB2	isa	FPLX	000045	AMPK_beta
HGNC	9385	PRKAG1	isa	FPLX	000046	AMPK_gamma
HGNC	9386	PRKAG2	isa	FPLX	000046	AMPK_gamma
HGNC	9387	PRKAG3	isa	FPLX	000046	AMPK_gamma
FPLX	000032	AMPK_A1B1G1	isa	FPLX	000031	AMPK
HGNC	9376	PRKAA1	partof	FPLX	000032	AMPK_A1B1G1
HGNC	9378	PRKAB1	partof	FPLX	000032	AMPK_A1B1G1
HGNC	9385	PRKAG1	partof	FPLX	000032	AMPK_A1B1G1
FPLX	000033	AMPK_A1B1G2	isa	FPLX	000031	AMPK
HGNC	9376	PRKAA1	partof	FPLX	000033	AMPK_A1B1G2
HGNC	9378	PRKAB1	partof	FPLX	000033	AMPK_A1B1G2
HGNC	9386	PRKAG2	partof	FPLX	000033	AMPK_A1B1G2
FPLX	000034	AMPK_A1B1G3	isa	FPLX	000031	AMPK
HGNC	9376	PRKAA1	partof	FPLX	000034	AMPK_A1B1G3
HGNC	9378	PRKAB1	partof	FPLX	000034	AMPK_A1B1G3
HGNC	9387	PRKAG3	partof	FPLX	000034	AMPK_A1B1G3
FPLX	000035	AMPK_A1B2G1	isa	FPLX	000031	AMPK
HGNC	9376	PRKAA1	partof	FPLX	000035	AMPK_A1B2G1
HGNC	9379	PRKAB2	partof	FPLX	000035	AMPK_A1B2G1
HGNC	9385	PRKAG1	partof	FPLX	000035	AMPK_A1B2G1
FPLX	000036	AMPK_A1B2G2	isa	FPLX	000031	AMPK
HGNC	9376	PRKAA1	partof	FPLX	000036	AMPK_A1B2G2
HGNC	9379	PRKAB2	partof	FPLX	000036	AMPK_A1B2G2
HGNC	9386	PRKAG2	partof	FPLX	000036	AMPK_A1B2G2
FPLX	000037	AMPK_A1B2G3	isa	FPLX	000031	AMPK
HGNC	9376	PRKAA1	partof	FPLX	000037	AMPK_A1B2G3
HGNC	9379	PRKAB2	partof	FPLX	000037	AMPK_A1B2G3
HGNC	9387	PRKAG3	partof	FPLX	000037	AMPK_A1B2G3
FPLX	000038	AMPK_A2B1G1	isa	FPLX	000031	AMPK
